Name,Neurons,Synapses,Details
Name,Neurons in the brain & whole nervous system,Synapses,Details
Sponge,0,,
Trichoplax,0,,"Despite no nervous system, it exhibits coordinated feeding and response behaviors."
Asplanchna brightwellii (rotifer),~200,,Brain only
Tardigrade,~200,,Brain only
Ciona intestinalis larva (sea squirt),23.0,"8,617 (central nervous system only)",
Caenorhabditis elegans (roundworm),302,"~7,500","First organism with its whole connectome (neuronal ""wiring diagram"") completed."
Starfish,~500,,ring of neurons surrounding the mouth
Jellyfish,"5,600",,Hydra vulgaris (H. attenuate)
Megaphragma mymaripenne,"7,400",,
Box jellyfish,"8,700–17,500",,Adult Tripedalia cystophora (8 mm diameter)
Does not include 1000 neurons in each of the four rhopalia,,,
Medicinal leech,"10,000",,
Pond snail,1.0,,
Sea slug,"18,000",,
Amphioxus,"20,000",,central nervous system only
Larval zebrafish,"100,000",,
Fruit fly,"150,000",,"Another organism with the connectome mapped, 139,255 neurons in the female brain and ~150,000 neurons in the ventral nerve cord."
Wandering spider,"100,000",,
Calliopsis (bee),"234,000",,
Ant,"250,000",,Varies per species
Perdita (bee),"275,000",,
Melissodes,"495,000",,
Bombus impatiens,"557,000",,
Western honey bee,6000.0,,
Honey bee,"960,000",~1×109,
Cockroach,"1,000,000",,
Coconut crab,">1,000,000",,"c. 1,000,000 interneurons are dedicated to analysing olfactory input alone."
California carpenter bee,"1,180,000",,
Steudner's dwarf gecko,77.0,,
Brown anole,"2,792,000",,
Mochlus sundevallii,"3,049,000",,
Peloponnese slowworm,7000.0,,
Common house gecko,"3,988,000",,
Takydromus sexlineatus,2.0,,
Anolis cristatellus,"4,270,000",,
Papua snake lizard,27.0,,
Guppy,"4,300,000",,
Natal Midlands dwarf chameleon,"4,305,000",,
Acontias percivali,"4,340,000",,
Sand lizard,34.0,,
Ocelot gecko,"4,420,000",,
Darevskia raddei,"4,765,000",,
Anolis evermanni,"4,920,000",,
Echis carinatus,95.0,,
Cerastes cerastes,"4,996,000",,
Tenerife gecko,0.0,,
Draco sumatranus,"5,174,000",,
Blue-throated keeled lizard,"5,269,000",,
Crested gecko,40000000.0,,
Lacerta strigata,"5,529,000",,
San Francisco garter snake,"5,663,000",,
Red-eyed crocodile skink,"5,697,000",,
Emoia cyanura,"5,733,000",,
East African spiny-tailed lizard,"5,756,000",,
Chalcides ocellatus,"5,774,000",,
Cylindrophis ruffus,"5,779,000",,
Cat gecko,"5,964,000",,
Aspidoscelis deppii,"5,968,000",,
Brown water snake,"5,995,000",,
Aspidelaps lubricus,"6,020,000",,
Scincus scincus,"6,284,000",,
Montivipera xanthina,"6,677,000",,
Hispaniolan curlytail lizard,"7,063,000",,
Sceloporus malachiticus,"7,149,000",,
Crotalus durissus,"7,263,000",,
Agama agama,"7,455,000",,
Agama aculeata,63.0,,
Gekko kuhli,"7,659,000",,
Leopard gecko,8.0,,
Latastia longicaudata,"8,099,000",,
Razor-backed musk turtle,"8,389,000",,
Greek tortoise,"8,520,000",,
Phelsuma grandis,"8,623,000",,
Acanthocercus atricollis,"8,650,000",,
Tokay gecko,"8,892,000",,
Russian tortoise,"9,008,000",,
Marginated tortoise,"9,074,000",,
Psammophis elegans,"9,170,000",,
Xenopeltis unicolor,"9,293,000",,
Zonosaurus Karsteni,"9,538,000",,
Oplurus quadrimaculatus,"9,565,000",,
Malagasy giant chameleon,75.0,,
Ahaetulla prasina,"9,767,000",,
Dasia olivacea,"9,785,000",,
Adult zebrafish,"~10,000,000",,cells (neurons + other)
Timon tangitanus,6000000000.0,,
Corn snake,"10,629,000",,
Acanthosaura capra,"10,724,000",,
Gallotia galloti,"10,903,000",,
Eutropis multifasciata,"10,944,000",,
Rainbow boa,1.0,,
East African black mud turtle,1.0,,
Indochinese spitting cobra,1.0,,
Cyrtodactylus irianjayaensis,1.0,,
Uromastyx ornata,1.0,,
Yellow-throated plated lizard,1.0,,
Meller's chameleon,"12,035,000",,
Twist-necked turtle,17.0,,
Western whiptail,"12,269,000",,
Gehyra vorax,"12,388,000",,
White-lipped mud turtle,67.0,,
Painted wood turtle,"12,677,000",,
Sheltopusik,"12,830,000",,
Standing's day gecko,"13,223,000",,
Common snapping turtle,68.0,,
Painted turtle,"14,302,000",,
Ocellated lizard,"14,593,000",,
Oplurus cuvieri,"14,627,000",,
African spurred tortoise,"14,986,000",,
Boa imperator,"15,194,000",,
Red-eared slider,"15,388,000",,
Plumed basilisk,"15,536,000",,
Red-bellied short-necked turtle,"15,787,000",,
Frog,"16,000,000",,
Corallus hortulana,"16,303,000",,
Blue-tongued skink,"16,376,000",,
Gran Canaria giant lizard,"18,038,000",,
Chinese water dragon,30.0,,
Chlamydosaurus,64.0,,
Northern snake-necked turtle,"19,040,000",,
Spiny-tailed monitor,77.0,,
Boa constrictor,78.0,,
Ameiva ameiva,"19,835,000",,
Chinese softshell turtle,"20,697,000",,
Amboina box turtle,2.0,,
Alligator snapping turtle,"22,230,000",,
Yellow anaconda,"23,035,000",,
Mexican beaded lizard,68.0,,
Major skink,"24,155,000",,
Sudan plated lizard,"24,434,000",,
Mata mata,"26,105,000",,
Naked mole-rat,"26,880,000",,
Weber's sailfin lizard,"27,245,000",,
Green iguana,"29,098,000",,
Argentine black and white tegu,25.0,,
Cyclura nubila,"30,820,000",,
Gold tegu,3.0,,
Varanus macraei,9.0,,
Little free-tailed bat,"35,000,000",,
Smoky shrew,"36,000,000",,
Sand goanna,"50,253,000",,
Short-tailed shrew,"52,000,000",,
Pig-nosed turtle,"53,027,000",,
Common bent-wing bat,"56,000,000",,
African sheath-tailed bat,"59,000,000",,
Hottentot golden mole,"65,000,000",,
Woermann's bat,"66,000,000",,
Zenker's fruit bat,"66,000,000",,
Commerson's roundleaf bat,"67,000,000",,
Rufous trident bat,"70,000,000",,
House mouse,7.0,~1×1012,
Asian water monitor,23.0,,
King quail,"80,478,000",,
Nile crocodile,"80,500,000",,
Heart-nosed bat,8.0,,
Diamond dove,"87,879,000",,
Golden hamster,"90,000,000",,
Short-palated fruit bat,"99,000,000",,
Ansell's mole-rat,"103,000,000",,
Mashona mole-rat,1000.0,,
Common quail,10000000.0,,
Hairy-tailed mole,"124,000,000",,
Eastern rock elephant shrew,"129,000,000",,
Star-nosed mole,13.0,,
Zebra finch,13.0,,Brain only
African collared dove,27.0,,
Silvery mole-rat,"148,000,000",,
Northern bobwhite,"148,399,000",,
Four-toed elephant shrew,"157,000,000",,
Eurasian blackcap,"157,000,000",,
Wahlberg's epauletted fruit bat,"162,000,000",,
Goldcrest,"164,000,000",,
Cape mole-rat,"170,000,000",,
Grey partridge,"170,287,000",,
Egyptian fruit bat,"172,000,000",,
Mechow's mole-rat,"174,000,000",,
Damaraland mole-rat,"178,000,000",,
Franquet's epauletted fruit bat,"186,000,000",,
Brown rat,"200,000,000",~4.48×1011,
Guyenne spiny rat,"202,000,000",,
Eastern mole,"204,000,000",,
Elegant crested tinamou,20000000.0,,
Red junglefowl,22.0,,
Great tit,"226,000,000",,
Green-rumped parrotlet,"227,000,000",,
Quebracho crested tinamou,67.0,,
Guinea pig,"240,000,000",,
Chilean tinamou,24.0,,
Gray mouse lemur,7.0,,
Common wood pigeon,68.0,,
Common treeshrew,26.0,,
Hammer-headed bat,"275,000,000",,
Wood duck,8000000.0,,
Pigeon,3.0,,Brain only
Budgerigar,"322,000,000",,
Pygmy falcon,"350,367,000",,
Cape dune mole-rat,36.0,,
Mallard,"367,000,000",,
Eurasian teal,"375,409,000",,
Common blackbird,"379,000,000",,
Marbled duck,"386,920,000",,
Reeves's pheasant,"387,173,000",,
Eurasian sparrowhawk,40.0,,
Ferret,"404,000,000",,
Cockatiel,"453,000,000",,
Gray squirrel,"453,660,000",,
Banded mongoose,"454,000,000",,
Prairie dog,"473,940,000",,
Red-breasted goose,"482,705,000",,
Common starling,"483,000,000",,
Wild turkey,"492,873,000",,
European rabbit,"494,200,000",,
Octopus,"500,000,000",,
Western tree hyrax,"505,000,000",,
Eurasian pygmy owl,"533,263,000",,
Indian peafowl,"570,934,000",,
Victoria crowned pigeon,"578,697,000",,
Little owl,"585,923,000",,
Common kestrel,"624,582,000",,
Common marmoset,"636,000,000",,
Eastern rosella,"642,000,000",,
Yellow-knobbed curassow,"652,989,000",,
Barn owl,"690,000,000",,
Monk parakeet,"697,000,000",,
Greylag goose,"738,232,000",,
Azure-winged magpie,74.0,,
Rock hyrax,"756,000,000",,
Cat,"760,000,000",~1×1013,
Black-rumped agouti,"857,000,000",,
Magpie,"897,000,000",,
Common hill myna,"906,000,000",,
Northern greater galago,"936,000,000",,
Western jackdaw,"968,000,000",,
Long-eared owl,99.0,,
Mute swan,1000999999.9999999,,
Common buzzard,1000999999.9999999,,
Black vulture,1008999999.9999999,,
Greater rhea,1030000000.0,,
Eurasian jay,1085000000.0,,
Alexandrine parakeet,1096000000.0,,
Raccoon dog,1160000000.0,,
Tanimbar corella,1161000000.0,,
Saker falcon,1204000000.0,,
Emu,1335000000.0,,
Three-striped night monkey,1468000000.0,,
Rook,1509000000.0,,
Grey parrot,1566000000.0,,
Tawny owl,1580000000.0,,
Capybara,1600000000.0,,
Common ostrich,1620000000.0,,
White-tailed eagle,1650000000.0,,
Jackal,1730000000.0,,
Snowy owl,1807000000.0,,
Eurasian eagle-owl,1897000000.0,,
Fox,2109999999.9999998,,
Sulphur-crested cockatoo,2122000000.0,,
Raccoon,2148000000.0,,
Kea,2149000000.0,,
Raven,2171000000.0,,Brain only
Domestic pig,2220000000.0,,
Dog,2253000000.0,,
Chihuahua (dog),2510000000.0,,
Dog (Chow Chow),2610000000.0,,
Dog (Yorkshire Terrier),2640000000.0,,
Springbok,2720000000.0,,
Dog (West Highland White Terrier),2830000000.0,,
Blesbok,3060000000.0,,
Blue-and-yellow macaw,3136000000.0,,Brain only
Common squirrel monkey,3246000000.0,,
Crab-eating macaque,3440000000.0,,
Dog (German Shepherd),3530000000.0,,
Tufted capuchin,3691000000.0,,
Bonnet macaque,3780000000.0,,
Striped hyena,3885000000.0,,
Dog (Komondor),3990000000.0,,
Dog (Transylvanian Hound),4390000000.0,,
Lion,4667000000.0,,
Greater kudu,4910000000.0,,
Rhesus macaque,6376000000.0,,
Brown bear,9586000000.0,,
Giraffe,10750000000.0,,
Yellow baboon,10950000000.0,,
Chimpanzee,28000000000.0,,
Orangutan,32599999999.999996,,
Gorilla,33400000000.0,,
Common minke whale,57000000000.0,,
Human,86000000000.0,~1.5×1014,
Short-finned pilot whale,128000000000.0,,
African elephant,256999999999.99997,,
