Rider,General Classification,TT,Sprint,Climb,Age,Weight,Height,Country
Abraham Olano,5498,7739,1920,1976,27,70,181,Spain
Acácio Da Silva,2608,1421,4110,578,27,,,Portugal
Ad Wijnands,559,205,2750,186,22,,173,Netherlands
Adelin Benoit,850,0,1549,532,27,,,Belgium
Adolfo Leoni,566,190,4460,634,33,,,Italy
Adolph Braeckeveldt,380,200,1157,76,25,64,162,Belgium
Adolphe Deledda,521,38,1606,284,32,,,France
Adri Van Der Poel,2074,1262,9212,1183,29,70,181,Netherlands
Adriano Durante,356,8,3392,386,25,,,Italy
Adriano Vignoli,653,60,693,175,27,,,Italy
Adrie Van Houwelingen,556,396,956,128,29,,,Netherlands
Aimé Dossche,540,0,2132,117,27,,175,Belgium
Aitor González,1599,1714,730,892,29,69,177,Spain
Alain Meslet,785,295,582,218,27,,,France
Alain Vasseur,418,57,622,152,22,,,France
Albert Bourlon,218,5,376,151,31,65,170,France
Albert Dejonghe,778,0,1549,576,29,,,Belgium
Albert Van Vlierberghe,817,9,3454,140,28,,,Belgium
Alberto Contador,11393,6062,1250,8320,27,61,176,Spain
Aldo Parecchini,122,50,940,13,26,71,173,Italy
Aldo Ronconi,1190,238,1124,616,29,,,Italy
Alejandro Valverde,13652,4916,3720,15216,28,61,177,Spain
Alessandro Fantini,734,104,2851,194,24,,,Italy
Alessandro Petacchi,1323,358,11788,508,29,70,185,Italy
Alex Zülle,8482,10253,1904,3584,28,72,185,Switzerland
Alexander Kristoff,2229,299,9380,376,27,78,183,Norway
Alexander Vinokourov,5816,5185,2584,3236,37,68,177,Kazakhstan
Alexey Lutsenko,3119,1040,975,2512,28,74,174,Kazakhstan
Alexis Vuillermoz,1568,98,176,1608,30,60,173,France
Alfons Schepers,690,0,2338,240,26,,,Belgium
Alfred Haemerlinck,306,0,1503,28,26,,,Belgium
Alfredo Binda,2680,610,9292,791,28,,,Italy
Alfredo Pasotti,522,1,2004,101,25,,,Italy
Alphonse Antoine,65,9,528,9,22,71,169,France
Ambrogio Morelli,2135,886,3052,186,30,78,175,Italy
Amédée Fournier,39,257,455,0,27,70,174,France
Anatole Novak,885,18,1560,95,24,,,France
André Darrigade,1363,372,8338,842,29,,178,France
André Godinat,109,34,543,35,28,,,France
André Greipel,1935,529,14200,278,33,80,184,Germany
André Le Dissez,277,16,523,156,30,,,France
André Leducq,2903,588,6557,830,28,,,France
André Rosseel,764,56,2250,326,28,,,Belgium
André Trochut,26,150,201,0,26,,,France
Andrew Hampsten,5914,2068,1793,1668,30,63,175,US
Andy Schleck,2639,397,453,2366,26,68,186,Luxembourg
Ángel Arroyo,3011,1386,1570,1144,27,,,Spain
Antonin Magne,3311,1300,5088,812,30,70,172,France
Antonin Rolland,2814,432,1937,786,28,,,France
Antonio Bailetti,304,462,1718,171,26,70,179,Italy
Antonio Pesenti,1495,50,1130,160,24,,,Italy
Antoon Van Schendel,396,212,1038,7,28,82,180,Netherlands
Arigo Padovan,1006,125,3448,322,27,,,Italy
